Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Learning_Rate
1,0.9780,84.23,0.7058,94.96,0.000100
2,0.7264,93.78,0.7402,93.55,0.000100
3,0.6883,95.40,0.7269,93.99,0.000100
4,0.6819,95.58,0.6355,97.53,0.000099
5,0.6568,96.50,0.6344,97.19,0.000098
6,0.6507,96.65,0.6292,97.38,0.000098
7,0.6443,96.84,0.6616,96.17,0.000097
8,0.6304,97.41,0.6267,96.99,0.000095
9,0.6295,97.44,0.6443,96.94,0.000094
10,0.6271,97.48,0.6223,97.67,0.000092
11,0.6240,97.73,0.6094,98.40,0.000091
12,0.6146,97.93,0.6801,95.73,0.000089
13,0.6176,97.90,0.5968,98.69,0.000087
14,0.6103,98.10,0.6080,98.25,0.000084
15,0.5988,98.59,0.6415,96.80,0.000082
16,0.6075,98.22,0.5985,98.69,0.000080
17,0.5924,98.81,0.6026,98.35,0.000077
18,0.5940,98.70,0.6008,98.69,0.000074
19,0.5948,98.61,0.6314,97.62,0.000072
20,0.5705,99.55,0.5706,99.56,0.000034
21,0.5678,99.61,0.5963,98.45,0.000033
22,0.5677,99.65,0.5848,99.03,0.000031
23,0.5680,99.64,0.5784,99.27,0.000030
24,0.5672,99.67,0.5845,99.13,0.000028
25,0.5669,99.68,0.5780,99.27,0.000027
26,0.5651,99.70,0.5753,99.22,0.000025
27,0.5612,99.86,0.5779,99.42,0.000012
28,0.5602,99.88,0.5817,99.22,0.000011
29,0.5606,99.87,0.5751,99.32,0.000010
30,0.5604,99.87,0.5771,99.32,0.000010
